a	a1
lüget	l y1 g @0 t
lügner	l y1 g n @0 r
lügnern	l y1 g n @0 r n
lügst	l y1 k s t
lügt	l y1 k t
lüste	l Y1 s t @0
lüsten	l Y1 s t @0 n
lüstern	l Y1 s t @0 r n
lüsterne	l Y1 s t @0 r n @0
lüsternen	l Y1 s t @0 r n @0 n
maacha	m a1 x a0
maachas	m a1 x a0 s
maachathiter	m a1 x a0 t i1 t @0 r
maachathiters	m a1 x a0 t i1 t @0 r s
maadai	m a1 d W1
maadja	m a1 t j a0
maai	m a1 i0
maarath	m a1 r &0 t
maaseja	m a1 z @0 j a0
maasejas	m a1 z @0 j a1 s
maasja	m a1 s j a0
maaths	m a1 =
maaz	m a1 =
mach	m &1 x
machaleb	m &0 J &0 l e1 p
machbannai	m &1 x b &1 n )1
machbenas	m &1 x b @0 n a0 s
mache	m &1 x @0
machen	m &1 x @0 n
machest	m &1 x @0 s t
machet	m &1 x @0 t
machir	m &0 k i0 r
machiriter	m &0 k i0 r i0 t @0 r
machirs	m &0 k i0 r s
machis	m &0 k i0 s
machla	m &1 x l a0
machlekoth	m &1 x l e0 k o0 t
machli	m &1 x l i0
machlis	m &1 x l I0 s
machliter	m &1 x l I0 t @0 r
machlon	m &0 k l o1 n
machlons	m &1 x l O0 n s
machnadbai	m &1 x n a0 t b W1
machpela	m &1 x p @0 l a0
machsejas	m &1 k s e0 j a1 s
machst	m &1 x s t
macht	m &1 x t
machte	m &1 x t @0
machten	m &1 x t @0 n
machtest	m &1 x t @0 s t
machtet	m &1 x t @0 t
machtproben	m &1 x t p r o0 b @0 n
machwerke	m &1 x v E0 r k @0
madai	m &0 d a1 i0
made	m a1 d @0
madmanna	m &0 d m &1 n a0
madmannas	m &0 d m &1 n a0 s
madmen	m &0 d m E0 n
madmena	m E1 t m e0 n a0
madon	m &0 d ~1
mag	m a1 k
magbisch	m a1 k b I0 S
magd	m a1 k t
magdalas	m a1 k d &0 l a0 s
magdalena	m a1 k d &0 l e1 n a0
magdiel	m a1 k d i0 l
magdiël	m a1 k t
magen	m a1 g @0 n
magens	m a1 g @0 n s
mager	m a1 g @0 r
magere	m a1 g @0 r @0
mageren	m a1 g @0 r @0 n
magir	m &0 g I0 r
magog	m &0 g o1 k
magpias	m a1 k p i0 a0 s
magpiasch	m a1 k p i0 &0 S
magst	m a1 k s t
mahalaleel	m &0 h &0 l &0 l e1 l
mahalalel	m &0 h &0 l &0 l e1 l
mahalalels	m &0 h &0 l &0 l E1 l s
mahalath	m &0 h &0 l &0 t
mahanaim	m &0 h &0 n &0 i1 m
mahanaiter	m &0 h &0 n &0 i1 t @0 r
mahanajim	m &0 h &0 n &0 j i0 m
mahasioth	m &0 h &0 z i0 o0 t
mahath	m &0 h &0 t
mahaths	m &0 h &0 =
mahl	m a1 l
mahle	m a1 l @0
mahlen	m a1 l @0 n
mahles	m a1 l @0 s
mahlzeit	m a1 l = W0 t
mahlzeiten	m a1 l = W0 t @0 n
mahnen	m a1 n @0 n
mahnt	m a1 n t
mahnte	m a1 n t @0
mahnung	m a1 n U0 N
mahnungen	m a1 n U0 N @0 n
mahnzeichen	m a1 n = W0 x @0 n
mahols	m &0 h o0 l s
mahrai	m a1 r W1
mahujael	m a1 u1 j &0 e1 l
majestät	m &0 j E0 s t )1 t
majestäten	m &0 j E0 s t )1 t @0 n
majim	m &0 j i0 m
makaz	m &0 k a1 =
makel	m a1 k @0 l
makheloth	m &0 k @0 l o0 t
makkeda	m &0 k e0 d a0
mal	m a1 l
malachit	m &0 l &0 x i1 t
malchia	m &0 l x i0 a0
malchiel	m a1 l k i0 l
malchus	m a1 l k U0 s
male	m a1 l @0
maleachi	m &0 l e0 &0 k i0
malen	m a1 l @0 n
malkam	m a1 l k &0 m
malkia	m a1 l k i0 a0
malkias	m a1 l k i0 &0 s
malkiram	m a1 l k I0 r a1 m
malkischua	m a1 l k I0 S u0 a0
malkiël	m a1 l k i1 l
malkiëliter	m a1 l k i0 l i1 t @0 r
mallothi	m &0 l O1 t i0
malluch	m &0 l u0 x
malluchs	m &0 l u0 x s
malta	m &0 l t a0
malzeichen	m &1 l = W0 x @0 n
mammon	m &1 m O0 n
mamre	m &0 m r @0
mamres	m &0 m r @0 s
man	m &1 n
manachtiter	m &0 n &0 x t i0 t @0 r
manahath	m E1 n I0 J h a1 t
manahen	m &0 n a0 @0 n
manasse	m &0 n &0 s @0
manasses	m &0 n &0 s @0 s
manassiter	m &0 n &0 s i1 t @0 r
manchem	m &1 n x @0 m
manchen	m &1 n x @0 n
mancher	m &1 n x @0 r
mancherlei	m &0 n x @0 r l W1
manches	m &1 n x @0 s
manchmal	m &1 n x m a0 l
mandelbaum	m &1 n d @0 l b B0 m
mandelblüten	m &1 n d @0 l b l y0 t @0 n
mandeln	m &1 n d @0 l n
mangel	m &1 N @0 l
mangeln	m &1 N @0 l n
mangels	m &1 N @0 l s
mangelt	m &1 N @0 l t
mangelte	m &1 N @0 l t @0
mann	m &1 n
manna	m &1 n a0
mannbar	m &1 n b a0 r
manne	m &1 n @0
mannes	m &1 n @0 s
mannesalter	m &1 n @0 s &0 l t @0 r
mannesaltern	m &1 n @0 s &0 l t @0 r n
mannesalters	m &1 n @0 s &0 l t @0 r s
mannhafteste	m &1 n h &0 f t @0 s t @0
mannigfach	m &1 n I0 x f &0 x
mannigfaltig	m &1 n I0 x f &0 l t I0 x
mannigfaltige	m &1 n I0 x f &0 l t I0 g @0
mannsbild	m &1 n s b I0 l t
mannschaft	m &1 n S &0 f t
manoah	m &0 n o0 a1
manocho	m &0 n O1 x o0
mantel	m &0 n t @0 l
mantels	m &0 n t @0 l s
mantelzipfel	m &1 n t @0 l = I1 + @0 l
maochs	m &0 o0 x s
maon	m &0 o0 n
maoniter	m &0 o0 n i1 t @0 r
mara	m a1 r a0
marala	m a1 r &0 l a0
maranatha	m a1 r &0 n a0 t a0
mardochai	m &1 r t O0 x a1 i0
mardochais	m &1 r t O0 x a1 i0 s
marescha	m &0 r E1 S a0
mareschas	m &0 r E1 S a0 s
maria	m a0 r i1 a0
marias	m &0 r i0 a0 s
mark	m &1 r k
markaboth	m &1 r k &0 b o0 t
markt	m &1 r k t
markte	m &1 r k t @0
marktplatz	m &1 r k t p l &0 =
markus	m &1 r k U0 s
marmor	m &1 r m O0 r
marmorsteine	m &1 r m O0 r S t W0 n @0
marmorsäulen	m &1 r m O0 r z X0 l @0 n
maroth	m &0 r o1 t
marschall	m &1 r S &0 l
marsena	m &0 r z e1 n a0
martha	m &0 r = a0
mas	m a0 s
masai	m &0 z a1 i0
masch	m &0 S
maschmanna	m &1 S m &1 n a0
masrek	m &1 s r e0 k
mass	m a1 s
massa	m &0 s a0
masse	m &1 s @0
massen	m a1 s @0 n
mast	m &1 s t
mastbaum	m &1 s t b B0 m
mastbäume	m &1 s t b X0 m @0
mastkorb	m &1 s t k O0 r p
mastkälber	m &1 s t k E1 l b @0 r
mastkälbern	m &1 s t k E1 l b @0 r n
mastvieh	m &1 s t f i0
mastviehs	m &1 s t f i0 s
matreds	m &0 t r e1 =
matri	m &0 t r i0
matt	m &1 t
mattan	m &0 t &0 n
mattana	m &0 t &0 n a0
mattanja	m &0 t &1 n j a0
mattanjas	m &0 t &1 n j a0 s
mattans	m &0 t &0 n s
mattathas	m &0 t &0 t a0 s
mattathias	m &0 t &0 t i1 &0 s
mattatta	m &1 t &1 t a0
matte	m &1 t @0
mattenai	m &1 t @0 n &0 i0
matthan	m &1 t a1 n
matthats	m &1 t h &0 =
matthias	m &1 t i1 &0 s
matthäus	m &1 t h X0 s
mattithja	m &0 t i0 t j a0
mauer	m B1 @0 r
mauerecke	m B1 @0 r E1 k @0
mauerlücken	m B1 @0 r l Y0 k @0 n
mauern	m B1 @0 r n
mauerwerk	m B1 @0 r v E0 r k
maul	m B1 l
maulbeerbaum	m B1 l b e0 r b B0 m
maulbeerbäume	m B1 l b e0 r b X0 m @0
maulbeeren	m B1 l b e0 r @0 n
maulesel	m B1 l e0 z @0 l
maultier	m B1 l t i0 r
maultiere	m B1 l t i0 r @0
maultieren	m B1 l t i0 r @0 n
maulwurf	m B1 l v U0 r f
maulwürfen	m B1 l v Y0 r f @0 n
maurer	m B1 r @0 r
maurern	m B1 r @0 r n
maus	m B1 s
mazedonien	m &0 = e1 d o0 n i1 @0 n
mazedoniens	m &0 z @0 d o1 n i0 @0 n s
mazedonier	m &0 z @0 d o1 n i0 @0 r
me	m @0
mea	m e1 a0
meara	m e0 a1 r a0
mecherathiter	m e0 x e1 r &0 t i1 t @0 r
mechona	m e0 x o0 n a0
medad	m e0 d &1 t
medan	m e0 d a1 n
medeba	m e0 d @0 b a0
meder	m e1 d @0 r
medern	m e1 d @0 r n
meders	m e1 d @0 r s
medien	m e1 d i0 @0 n
meer	m e1 r
meere	m e1 r @0
meeres	m e1 r @0 s
meereswellen	m e1 r @0 s v E0 l @0 n
meereswoge	m e1 r @0 s v o1 g @0
meers	m e1 r s
meerwunder	m e1 r v U0 n d @0 r
megiddo	m e0 g I1 d o0
megiddos	m e0 g I1 d o0 s
mehetabeel	m e1 e0 t &0 b e1 l
mehetabel	m e1 @0 t a0 b @0 l
mehetabels	m e1 @0 t a0 b @0 l s
mehida	m e0 h i1 d a0
mehir	m e0 I0 r
mehl	m e1 l
mehls	m e1 l s
mehola	m e1 o1 l a0
mehr	m e1 r
mehre	m e1 r @0
mehren	m e1 r @0 n
mehrere	m e1 r @0 r @0
mehreren	m e1 r @0 r @0 n
mehrest	m e1 r @0 s t
mehret	m e1 r @0 t
mehrt	m e1 r t
mehrte	m e1 r t @0
mehrten	m e1 r t @0 n
mehrtest	m e1 r t @0 s t
mehuman	m e1 h u0 m a0 n
meide	m W1 d @0
meiden	m W1 d @0 n
meidet	m W1 d @0 t
meile	m W1 l @0
mein	m W1 n
meine	m W1 n @0
meineidige	m W1 n W0 d I0 g @0
meineidigen	m W1 n W0 d I0 g @0 n
meinem	m W1 n @0 m
meinen	m W1 n @0 n
meinenaugen	m W1 n @0 n B0 g @0 n
meiner	m W1 n @0 r
meines	m W1 n @0 s
meinesgleichen	m W1 n @0 s g l W1 x @0 n
meinest	m W1 n @0 s t
meinet	m W1 n @0 t
meinetwegen	m W1 n @0 t v e1 g @0 n
meinetwillen	m W1 n @0 t v I1 l @0 n
meinst	m W1 n s t
meint	m W1 n t
meinte	m W1 n t @0
meinten	m W1 n t @0 n
meinung	m W1 n U0 N
meiste	m W1 s t @0
meisten	m W1 s t @0 n
meister	m W1 s t @0 r
meistern	m W1 s t @0 r n
meisters	m W1 s t @0 r s
melach	m e0 l &1 x
melatja	m e0 l &0 t j a0
melchis	m E1 l x i0 s
melchisedek	m E1 l x i0 z e0 d e1 k
melchisedeks	m E1 l x i0 z e0 d e1 k s
melde	m E1 l d @0
meldeten	m E1 l d @0 t @0 n
meldungen	m E1 l d U0 N @0 n
meleas	m e0 l e0 a0 s
melech	m e0 l E0 x
melechs	m e0 l E0 x s
melken	m E1 l k @0 n
melkfass	m E1 l k f &0 s
melonen	m e0 l o1 n @0 n
memphis	m E0 m f i0 s
memuchan	m e0 m u0 S q0
memuchans	m e0 m U0 x a0 n s
menahem	m e0 n a0 @0 m
menahems	m e0 n a1 e1 m s
mene	m e0 n @0
menephtoach	m e0 n e0 f t o0 &0 x
menge	m E1 N @0
mengen	m E1 N @0 n
mengt	m E1 N t
meni	m e0 n i0
mennas	m E0 n a0 s
mensch	m E1 n S
menschen	m E1 n S @0 n
menschenaugen	m E1 n S @0 n B0 g @0 n
menschenblut	m E1 n S @0 n b l u0 t
menschenblutes	m E1 n S @0 n b l u0 t @0 s
menschenfischern	m E1 n S @0 n f I0 S @0 r n
menschenfurcht	m E1 n S @0 n f U0 r x t
menschengebein	m E1 n S @0 n g @0 b W0 n
menschengebeine	m E1 n S @0 n g @0 b W0 n @0
menschengebote	m E1 n S @0 n g @0 b o0 t @0
menschengeboten	m E1 n S @0 n g @0 b o0 t @0 n
menschengesicht	m E1 n S @0 n g @0 z I0 x t
menschenhand	m E1 n S @0 n h &0 n t
menschenherden	m E1 n S @0 n h e0 r d @0 n
menschenhände	m E1 n S @0 n h E0 n d @0
menschenhänden	m E1 n S @0 n h E0 n d @0 n
menschenhändlern	m E1 n S @0 n h E0 n d l @0 r n
menschenhüter	m E1 n S @0 n h y0 t @0 r
menschenkind	m E1 n S @0 n k I0 n t
menschenkinder	m E1 n S @0 n k I0 n d @0 r
menschenkindern	m E1 n S @0 n k I0 n d @0 r n
menschenknochen	m E1 n S @0 n k n O0 x @0 n
menschenkot	m E1 n S @0 n k o0 t
menschenmass	m E1 n S @0 n m a0 s
menschenruten	m E1 n S @0 n r u0 t @0 n
menschenseelen	m E1 n S @0 n z e0 l @0 n
menschensohn	m E1 n S @0 n z o0 n
menschensohnes	m E1 n S @0 n z o0 n @0 s
menschenstimme	m E1 n S @0 n S t I0 m @0
menschenverstand	m E1 n S @0 n f E0 r S t &0 n t
menschenweise	m E1 n S @0 n v W0 z @0
menschenweisheit	m E1 n S @0 n v W0 s h W0 t
menschenwort	m E1 n S @0 n v O0 r t
menschenworte	m E1 n S @0 n v O0 r t @0
menschlich	m E1 n S l I0 x
menschliche	m E1 n S l I0 x @0
menschlichem	m E1 n S l I0 x @0 m
menschlichen	m E1 n S l I0 x @0 n
menschlicher	m E1 n S l I0 x @0 r
menschliches	m E1 n S l I0 x @0 s
meon	m e0 O0 n
meonothai	m e0 o0 n o0 t W1
mephaath	m e0 f a1 t
mephiboscheth	m e0 f i0 b o0 S e1 t
mephiboscheths	m e0 f i0 b o0 S e1 =
merab	m E0 r &1 p
meraja	m e0 r a1 j a0
merajoth	m e0 r &0 j o0 t
merajoths	m e0 r &0 j o0 =
merari	m e0 r a1 r i0
meraris	m e0 r a1 r i0 s
merariter	m e0 r a1 r i0 t @0 r
meraritern	m e0 r a1 r i0 t @0 r n
merathajim	m e0 r &0 t &0 j i0 m
mered	m E1 r e1 t
meremoth	m e0 r e0 m o0 t
meres	m @0 r @0 s
merib	m e1 r I0 p
meriba	m e0 r i0 b a0
meribath	m e0 r i0 b a1 t
merk	m E1 r k
merke	m E1 r k @0
merken	m E1 r k @0 n
merket	m E1 r k @0 t
merkst	m E1 r k s t
merkt	m E1 r k t
merkte	m E1 r k t @0
merkten	m E1 r k t @0 n
merkurius	m E0 r k u1 r i0 U0 s
merkzeichen	m E1 r k = W0 x @0 n
merodach	m e0 r o0 d &0 x
merom	m e0 r o1 m
meron	m e0 r O0 n
meronoth	m e0 r o0 n o0 t
meronothiter	m e0 r o0 n o0 t i1 t @0 r
meros	m e1 r o0 s
mesa	m e0 z a0
mesahabs	m e0 z a1 h a0 p s
mescha	m e0 a0
meschach	m e0 x &1 x
meschachs	m e0 x &1 k s
meschech	m e0 x E0 x
meschelemja	m e0 x E0 l m j a0
meschelemjas	m e0 x E0 l m j a0 s
meschesabel	m e0 x e0 z a1 b @0 l
meschesabels	m e0 x @0 s a0 b @0 l s
meschillemiths	m e0 x I1 l @0 m i1 =
meschillemoths	m e0 x I1 l E0 m o0 =
meschobab	m e0 x o0 b &1 p
meschullam	m e0 U1 l &0 m
meschullams	m e0 U1 l &1 m s
meschullemeth	m e0 U1 l @0 m e0 t
mesech	m e0 z E0 x
mesesabeel	m e0 @0 s &0 b e1 l
mesopotamien	m e0 z o0 p o0 t &0 m i1 @0 n
messen	m E1 s @0 n
messer	m E1 s @0 r
messern	m E1 s @0 r n
messet	m E1 s @0 t
messias	m E0 s i1 &0 s
messrute	m E1 s r u0 t @0
messschnur	m E1 s S n u0 r
messstab	m E1 s S t a0 p
messt	m E1 s t
mesullam	m e0 z U0 l l &0 m
methusael	m e0 t U0 s &0 e1 l
methusalah	m e0 t u0 z &0 l a1
methuschelach	m e0 t U0 S @0 l &0 x
methuschelachs	m e0 t U0 S @0 l &0 x s
meuchelmörder	m X1 x @0 l m /0 r d @0 r
mibhar	m i1 p h a0 r
mibsam	m i1 p z a0 m
mibzar	m i1 b z a0 r
mich	m I1 x
micha	m I0 x a0
michael	m I1 x &0 e1 l
michaels	m I1 x &0 e1 l s
michaja	m I1 x a1 j a0
michajas	m I1 x &0 j a0 s
michal	m I1 x a0 l
michas	m I1 x a0 s
michmas	m I1 x m a0 s
michmethath	m I1 x m e0 t &0 t
michris	m i0 k r I0 s
middin	m I1 d I0 n
midian	m i1 d i0 a1 n
midianiter	m i1 d i0 &0 n i0 t @0 r
midianiterin	m i1 d i0 &0 n i0 t @0 r I0 n
midianitern	m i1 d i0 &0 n i0 t @0 r n
midianitische	m i1 d i0 &0 n i1 t I0 S @0
midians	m i1 d i0 a1 n s
mied	m i1 t
mieten	m i1 t @0 n
mietling	m i1 t l I0 N
mietpreis	m i1 t p r W0 s
migdal	m i0 g d a1 l
migdol	m i0 g d o1 l
migron	m i0 g r O0 n
mijamin	m I1 j &0 m i1 n
mijjamin	m I1 j j &0 m i1 n
mikloth	m i1 k l o0 t
mikneja	m i1 k n e1 j a0
milalai	m i0 l &0 l W1
milch	m I1 l x
milchlamm	m I1 l x l &0 m
milder	m I1 l d @0 r
milet	m I1 l @0 t
milka	m I1 l k a0
milkas	m I1 l k a0 s
milkom	m I1 l k O0 m
millo	m I0 l o0
mindern	m I1 n d @0 r n
minjamin	m i0 n j &0 m i1 n
minni	m I1 n i0
minnith	m I1 n i0 t
minze	m I1 n = @0
mir	m i1 r
mirjam	m i0 r j a0 m
mirma	m I1 r m a0
misa	m i1 z a0
mischal	m I1 S a0 l
mischam	m I1 S a1 m
mischaël	m I1 S a0 l
mischen	m I1 S @0 n
mischling	m I1 S l I0 N
mischlinge	m I1 S l I0 N @0
mischma	m I1 S m a0
mischmas	m I1 S m &0 s
mischraiter	m I1 S r )1 t @0 r
mischt	m I1 S t
mischung	m I1 S U0 N
mischvolk	m I1 S f O0 l k
mischvölker	m I1 S f /0 l k @0 r
misma	m I1 s m a0
mispar	m I1 s p a1 r
mispat	m I1 s p a0 t
mispereth	m I1 s p e0 r e0 t
misrephoth	m I0 s r e0 f o0 t
miss	m I1 s
missa	m I0 s a0
missachtet	m I0 s &1 x t @0 t
missbildung	m I1 s b I0 l d U0 N
missbrauchen	m I0 s b r B1 x @0 n
missbraucht	m I0 s b r B1 x t
missetat	m I1 s @0 t a0 t
missetaten	m I1 s @0 t a0 t @0 n
missfallen	m I0 s f &1 l @0 n
missfiel	m I0 s f i1 l
missfällt	m I0 s f E1 l t
missgehandelt	m I1 s g @0 h &0 n d @0 l t
missgunst	m I1 s g U0 n s t
misshandelt	m I0 s h &1 n d @0 l t
misshandlung	m I0 s h &1 n d l U0 N
misshandlungen	m I0 s h &1 n d l U0 N @0 n
missmutigen	m I1 s m u0 t I0 g @0 n
missriet	m I0 s r i1 t
missrät	m I0 s r )1 t
missstände	m I0 s S t E0 n d @0
misst	m I0 s t
mist	m I1 s t
mistlache	m I1 s t l &0 x @0
misttor	m I1 s t t o0 r
mit	m I1 t
mitarbeiter	m I1 t &0 r b W0 t @0 r
mitbrachten	m I1 t b r &0 x t @0 n
mitbürger	m I1 t b Y0 r g @0 r
miteinander	m I1 t W0 n &0 n d @0 r
miterbaut	m i1 t E0 r b B1 t
miterben	m i1 t E0 r b @0 n
mitfolgenden	m I1 t f O0 l g @0 n d @0 n
mitfolgte	m I1 t f O0 l k t @0
mitfühlen	m I1 t f y0 l @0 n
mitgeben	m I1 t g e0 b @0 n
mitgebracht	m I1 t g @0 b r &0 x t
mitgebundenen	m I1 t g @0 b U0 n d @0 n @0 n
mitgefangenen	m I1 t g @0 f &0 N @0 n @0 n
mitgefangener	m I1 t g @0 f &0 N @0 n @0 r
mitgegossen	m I1 t g @0 g O0 s @0 n
mitgehen	m I1 t g e0 @0 n
mitgelitten	m I1 t g @0 l I0 t @0 n
mitgenommen	m I1 t g @0 n O0 m @0 n
mitgenosse	m I1 t g @0 n O0 s @0
mitgenossen	m I1 t g @0 n O0 s @0 n
mitgezählt	m I1 t g @0 = )0 l t
mithelfen	m I1 t h E0 l f @0 n
mithelfer	m I1 t h E0 l f @0 r
mithka	m I1 t h k a0
mithniter	m I1 t n i0 t @0 r
mithredath	m I1 t r e0 d &0 t
mitknecht	m I1 t k n E0 x t
mitknechte	m I1 t k n E0 x t @0
mitleid	m I1 t l W0 t
mitleidig	m I1 t l W0 d I0 x
mitnahm	m I1 t n a0 m
mitnahmen	m I1 t n a0 m @0 n
mitnehmen	m I1 t n e0 m @0 n
mitnichten	m I0 t n I1 x t @0 n
mitnähmen	m I1 t n )0 m @0 n
mitsamt	m I1 t z &0 m t
mitspielen	m I1 t S p i0 l @0 n
mitstreiter	m I1 t S t r W0 t @0 r
mittag	m I1 t a0 k
mittags	m I1 t a0 k s
mittagsland	m I1 t a0 k s l &0 n t
mittagsmahl	m I1 t a0 k s m a0 l
mitte	m I1 t @0
mitteile	m I1 t t W0 l @0
mitteilen	m I1 t t W0 l @0 n
mittel	m I1 t @0 l
mittelriegel	m I1 t @0 l r i0 g @0 l
mittelsäulen	m I1 t @0 l z X0 l @0 n
mitteltor	m I1 t @0 l t O0 r
mitten	m I0 t @0 n
mitternacht	m I1 t @0 r n &0 x t
mittler	m I1 t l @0 r
mittlere	m I1 t l @0 r @0
mittleren	m I1 t l @0 r @0 n
mittlers	m I1 t l @0 r s
mitwirken	m I1 t v I0 r k @0 n
mitylene	m I1 t y0 l e1 n @0
mitziehen	m I1 t = i0 @0 n
mitzuleben	m I1 t = u0 l e0 b @0 n
mitzusterben	m I1 t = u0 S t E0 r b @0 n
mitzuteilen	m I1 t = u0 t W0 l @0 n
mitälteste	m I1 t E0 l t @0 s t @0
mizpa	m i1 = p a0
mizpe	m i1 = p @0
mizraim	m i1 = r a0 i1 m
mnason	m n a0 z ~0
moab	m O1 &1 p
moabiter	m o0 &0 b i1 t @0 r
moabiterin	m o0 &0 b i1 t @0 r I0 n
moabiterland	m o0 &0 b i1 t @0 r l &0 n t
moabitern	m o0 &0 b i1 t @0 r n
moabitische	m o0 &0 b i1 t I0 S @0
moabs	m o1 a0 p s
mochte	m O1 x t @0
moder	m o1 d @0 r
mohr	m o1 r
mohren	m o1 r @0 n
mohrenland	m o1 r @0 n l &0 n t
molada	m o0 l a1 d a0
molch	m O1 l x
molecheth	m o0 l E0 x e1 t
molid	m o0 l i1 t
moloch	m o0 l O0 x
molochs	m o0 l O0 x s
monat	m o1 n a0 t
monate	m o1 n &0 t @0
monaten	m o1 n &0 t @0 n
monats	m o1 n a0 =
mond	m o1 n t
monde	m o1 n d @0
monden	m o1 n d @0 n
mondes	m o1 n d @0 s
mondsüchtig	m o1 n t z Y0 x t I0 x
mondsüchtigen	m o1 n t z Y0 x t I0 g @0 n
mord	m O1 r t
mordanschlag	m O1 r t &0 n S l a0 k
morde	m O1 r d @0
morden	m O1 r d @0 n
mordes	m O1 r d @0 s
mordet	m O1 r d @0 t
more	m o0 r @0
morescheth	m o0 r E1 S @0 t
morgen	m O1 r g @0 n
morgende	m O1 r g @0 n d @0
morgengabe	m O1 r g @0 n g a0 b @0
morgenland	m O1 r g @0 n l &0 n t
morgenrot	m O1 r g @0 n r o0 t
morgenröte	m O1 r g @0 n r 0 t @0
morgens	m O1 r g @0 n s
morgenstern	m O1 r g @0 n S t E0 r n
morgensterne	m O1 r g @0 n S t E0 r n @0
morgenwache	m O1 r g @0 n v &0 x @0
morgigen	m O1 r g I0 g @0 n
morija	m o0 r i0 j a0
mose	m o1 z @0
moser	m o1 z @0 r
moseroth	m o1 z @0 r o0 t
moses	m o1 z @0 s
most	m O1 s t
mosts	m O1 s =
motte	m O1 t @0
motten	m O1 t @0 n
moza	m o0 = a0
mucken	m U1 k @0 n
mund	m U1 n t
munde	m U1 n d @0
mundes	m U1 n d @0 s
mundet	m U1 n d @0 t
mundschenk	m U1 n t S E0 N k
mundschenken	m U1 n t S E0 N k @0 n
muppim	m U1 p I0 m
murmeln	m U1 r m @0 l n
murmelte	m U1 r m @0 l t @0
murre	m U1 r @0
murren	m U1 r @0 n
murret	m U1 r @0 t
murrt	m U1 r t
murrte	m U1 r t @0
murrten	m U1 r t @0 n
murrtet	m U1 r t @0 t
muschi	m U1 S i0
muschis	m U1 S i0 s
muschiter	m U1 S i1 t @0 r
muskeln	m U1 s k @0 l n
muss	m U1 s
musst	m U1 s t
musste	m U1 s t @0
mussten	m U1 s t @0 n
musstest	m U1 s t @0 s t
musstet	m U1 s t @0 t
mustert	m U1 s t @0 r t
musterte	m U1 s t @0 r t @0
mut	m u1 t
mutes	m u1 t @0 s
mutig	m u1 t I0 x
mutiger	m u1 t I0 g @0 r
mutiges	m u1 t I0 g @0 s
mutlos	m u1 t l o0 s
mutter	m U1 t @0 r
mutterbrust	m U1 t @0 r b r U0 s t
mutterleib	m U1 t @0 r l W0 p
mutterleibe	m U1 t @0 r l W0 b @0
mutterleibes	m U1 t @0 r l W0 b @0 s
muttermördern	m U1 t @0 r m /0 r d @0 r n
mutterschafe	m U1 t @0 r S a1 f @0
mutterschoss	m U1 t @0 r S O0 s
mutterschosse	m U1 t @0 r S O0 s @0
muttertier	m U1 t @0 r t i0 r
mutwillen	m u1 t v I0 l @0 n
mutwillig	m u1 t v I0 l I0 x
mutwillige	m u1 t v I0 l I0 g @0
myra	m y1 r a0
myrrhe	m Y1 r @0
myrrhen	m Y1 r @0 n
myrrhenberge	m Y1 r @0 n b E0 r g @0
myrten	m Y1 r t @0 n
myrtenzweige	m Y1 r t @0 n = v W0 g @0
mysien	m y0 z i1 @0 n
mächte	m E1 x t @0
mächten	m E1 x t @0 n
mächtig	m E1 x t I0 x
mächtige	m E1 x t I0 g @0
mächtigem	m E1 x t I0 g @0 m
mächtigen	m E1 x t I0 g @0 n
mächtiger	m E1 x t I0 g @0 r
mächtigere	m E1 x t I0 g @0 r @0
mächtigeren	m E1 x t I0 g @0 r @0 n
mächtiges	m E1 x t I0 g @0 s
mächtigste	m E1 x t I0 x s t @0
mächtigsten	m E1 x t I0 x s t @0 n
mädchen	m )1 t x @0 n
mädchens	m )1 t x @0 n s
mädglein	m )1 t k l W0 n
mägde	m )1 k d @0
mägden	m )1 k d @0 n
mägdlein	m )1 k t l W0 n
mähen	m )1 @0 n
mähne	m )1 n @0
männer	m E1 n @0 r
männern	m E1 n @0 r n
männersachen	m E1 n @0 r z &0 x @0 n
männin	m E1 n I0 n
männlein	m E1 n l W0 n
männlich	m E1 n l I0 x
männliche	m E1 n l I0 x @0
männlichen	m E1 n l I0 x @0 n
männliches	m E1 n l I0 x @0 s
mäntel	m E1 n t @0 l
mänteln	m E1 n t @0 l n
märchen	m )1 r x @0 n
märkte	m E1 r k t @0
mässig	m )1 s I0 x
mässigkeit	m )1 s I0 x k W0 t
mässigt	m )1 s I0 x t
mästet	m E1 s t @0 t
mäuler	m X1 l @0 r
mäulern	m X1 l @0 r n
mäuse	m X1 z @0
mäusen	m X1 z @0 n
mëuniter	m u0 n i0 t @0 r
möchte	m /1 x t @0
möchten	m /1 x t @0 n
möchtet	m /1 x t @0 t
möge	m 1 g @0
mögen	m 1 g @0 n
mögest	m 1 g @0 s t
möget	m 1 g @0 t
möglich	m 1 k l I0 x
mögt	m 1 k t
mörder	m /1 r d @0 r
mördergrube	m /1 r d @0 r g r u0 b @0
mörderinnen	m /1 r d @0 r I0 n @0 n
mörderische	m /1 r d @0 r I0 S @0
mörderischen	m /1 r d @0 r I0 S @0 n
mörders	m /1 r d @0 r s
mörser	m /1 r z @0 r
mörsern	m /1 r z @0 r n
mücken	m Y1 k @0 n
müde	m y1 d @0
müden	m y1 d @0 n
mühe	m y1 @0
mühen	m y1 @0 n
mühens	m y1 @0 n s
mühle	m y1 l @0
mühlen	m y1 l @0 n
mühlstein	m y1 l S t W0 n
