a	a1
aneinander	&0 n W0 n &1 n d @0 r
aneinanderfügen	&0 n W0 n &1 n d @0 r f u0 g @0 n
aneinandergefügt	&0 n W0 n &1 n d @0 r g @0 f u0 k t
anem	a1 n @0 m
aner	&1 n @0 r
anerkannt	&1 n E0 r k &0 n t
anerkennen	&0 n E1 r k E0 n @0 n
anerkennt	&1 n E0 r k E0 n t
anerkennung	&1 n E0 r k E0 n U0 N
aners	&1 n @0 r s
anfachen	&1 n f &0 x @0 n
anfacht	&1 n f &0 x t
anfahren	&1 n f a0 r @0 n
anfallen	&1 n f &0 l @0 n
anfang	&1 n f &0 N
anfange	&1 n f &0 N @0
anfangen	&1 n f &0 N @0 n
anfanget	&1 n f &0 N @0 t
anfangs	&1 n f &0 N s
anfassten	&1 n f &0 s t @0 n
anfechten	&1 n f E0 x t @0 n
anfechtung	&1 n f E0 x t U0 N
anfechtungen	&1 n f E0 x t U0 N @0 n
anfeindung	&1 n f W0 n d U0 N
anfing	&1 n f I0 N
anfingen	&1 n f I0 N @0 n
anfingst	&1 n f I0 N s t
anflehen	&1 n f l e0 @0 n
anflehte	&1 n f l e0 t @0
anfocht	&1 n f O0 x t
anfurt	&1 n f U0 r t
anfänger	&1 n f E0 N @0 r
anfängt	&1 n f E0 N t
anführer	&1 n f y0 r @0 r
anführern	&1 n f y0 r @0 r n
anführers	&1 n f y0 r @0 r s
angebaut	&1 n g @0 b B0 t
angeben	&1 n g e0 b @0 n
angebetet	&1 n g @0 b e0 t @0 t
angeboten	&1 n g @0 b o0 t @0 n
